/ d 755 4096 0 0 5 24 6 46
Library d 755 4096 0 0 5 29 0 4 /
Volumes d 755 4096 0 0 5 29 0 4 /
dev d 755 4096 0 0 5 29 0 4 /
tmp d 755 4096 0 0 5 29 0 4 /
root d 755 4096 0 0 5 29 0 4 /
System d 755 4096 0 0 5 29 0 4 /
etc d 755 4096 0 0 5 29 0 4 /
bin d 755 4096 0 0 5 29 0 4 /
private d 755 4096 0 0 5 29 0 4 /
usr d 755 4096 0 0 5 29 0 4 /
Applications d 755 4096 0 0 5 29 0 4 /
Users d 755 4096 0 0 5 29 0 4 /
home d 755 4096 0 0 5 29 0 4 /
sbin d 755 4096 0 0 5 29 0 4 /
var d 755 4096 0 0 5 29 0 4 /
os d 755 4096 0 0 5 29 0 4 /
test d 755 4096 0 0 5 29 2 7 /
a.tar a 755 0 0 0 5 29 2 7 /test aa bb
aa d 755 4096 0 0 5 29 2 9 /test
bb d 755 4096 0 0 5 29 2 9 /test
ko d 755 4096 0 0 5 29 0 5 /home
lee d 755 4096 0 0 5 29 0 5 /home
seo d 755 4096 0 0 5 29 0 5 /home
hwang d 755 4096 0 0 5 29 0 5 /home
jung d 755 4096 0 0 5 29 0 5 /home
passwd f 644 14 0 0 5 29 0 5 /etc
